#Data tag : 23v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/ub),recorded(/ub)
359776:8226,10/04/22 15:35:49,329,329,213591.136238556,212718.084020284
359806:8228,10/05/22 00:42:28,369,369,151639893.678745180,144756816.562404394
359808:8228,10/05/22 03:14:08,46,46,17935840.439266864,16656406.480453165
359809:8228,10/05/22 03:32:58,43,43,16388299.959988087,15393322.245382641
359810:8228,10/05/22 03:51:08,183,183,66090363.857161701,62595801.443056703
359812:8228,10/05/22 05:09:00,227,227,74689405.759450421,71099680.659397185
359814:8228,10/05/22 06:49:10,366,366,105510143.464842275,101714061.966375038
359870:8230,10/05/22 21:06:37,6,6,2443144.051943440,2244593.615635647
359871:8230,10/05/22 21:13:55,228,228,105143936.283479378,99129853.688263714
359887:8232,10/06/22 07:08:20,473,473,317389.138363542,316146.535467275
359899:8233,10/06/22 12:25:21,287,287,8433250.319656339,7823855.543473043
359903:8233,10/06/22 14:28:03,12,12,319667.173095854,305247.626431010
359998:8236,10/07/22 18:18:08,1892,1892,605001568.692785621,582944617.304714322
360017:8238,10/08/22 13:21:48,40,40,12282504.606046254,11651118.718975201
360019:8238,10/08/22 13:53:37,1488,1488,488120911.051014602,471287082.013371885
360075:8245,10/09/22 22:41:33,758,758,312561961.163286150,299093732.345063150
360090:8245,10/10/22 06:20:43,794,794,208255248.472493649,201562423.505388796
360116:8247,10/10/22 16:09:38,356,356,146025753.483320624,139462885.670591861
360125:8247,10/10/22 19:43:37,188,188,72379918.460316315,68685869.283867583
360126:8247,10/10/22 21:01:15,369,369,126299637.033112317,120810808.905945718
360127:8247,10/10/22 23:26:55,201,201,60690749.969680533,58460626.898281142
360128:8247,10/11/22 00:46:22,163,163,45950837.701220021,44517229.428088948
360130:8247,10/11/22 02:51:09,5,5,1295146.908338744,872247.999953714
360131:8247,10/11/22 02:56:13,378,378,91061772.648509338,88462662.076317385
360141:8248,10/11/22 07:31:36,751,751,307676850.311514914,293394161.038298666
360224:8253,10/12/22 03:08:53,217,217,84728697.352706209,78435166.233716473
360225:8253,10/12/22 04:42:17,355,355,149483217.518259645,139288282.484198570
360295:8260,10/13/22 04:45:03,1439,1439,546808451.295074463,522695787.937705278
360296:8260,10/13/22 14:07:36,519,519,137732174.366375387,133299205.619176954
360327:8263,10/14/22 02:26:23,352,352,139701876.158317983,133399377.538111553
360390:8267,10/14/22 22:29:39,71,71,27542121.568081364,26440046.913312357
360391:8267,10/14/22 23:01:37,4,4,1736858.286360113,1537077.120771609
360392:8267,10/14/22 23:10:16,61,61,25662907.923218522,24246441.313743848
360393:8267,10/14/22 23:36:29,124,124,52807493.861463994,49576966.588560663
360400:8269,10/15/22 04:47:39,80,80,25126029.018698901,23999155.738787930
360413:8272,10/15/22 11:30:38,90,90,37743588.414282076,35974042.748948544
360428:8273,10/15/22 15:03:02,74,74,29740608.099953283,27791708.581686672
360432:8273,10/15/22 15:53:32,28,28,12010519.770717425,11275254.405172203
360435:8273,10/15/22 16:15:34,48,48,20213051.570074804,18897317.278999463
360437:8273,10/15/22 16:45:40,40,40,17079922.252361536,16417412.519726899
360438:8273,10/15/22 17:05:14,6,6,2540217.209758581,2379287.501698308
360458:8274,10/15/22 22:24:36,184,184,68993907.086838201,65095628.833603464
360459:8274,10/15/22 23:47:03,1332,1332,480714939.689480007,460953402.431782842
360460:8274,10/16/22 08:28:58,1077,1077,242875910.527570575,235193294.130234331
360486:8276,10/16/22 19:01:39,278,278,115475149.624659151,109181984.282425985
360490:8276,10/16/22 21:58:50,1177,1177,386592514.358719409,369566818.997865498
360491:8276,10/17/22 05:43:58,176,176,41573599.756963082,40172674.094532475
360737:8289,10/19/22 12:35:46,18,18,874501.379734788,858464.478557508
360761:8293,10/19/22 17:02:58,157,157,9326723.123810321,9149339.839534571
360794:8295,10/20/22 01:57:32,677,677,282254436.989068151,269149051.228120267
360795:8295,10/20/22 06:25:12,395,395,150212226.088691145,144103291.672330469
360797:8295,10/20/22 12:44:41,5,5,1381498.805832436,1348525.595046537
360820:8297,10/20/22 15:48:59,885,885,368104285.754442096,349531281.258333564
360825:8297,10/20/22 22:18:00,358,358,120361901.826046631,114619596.831728876
360826:8297,10/21/22 00:40:05,118,118,35935350.811362281,33966209.788220957
360856:8299,10/21/22 13:12:55,56,56,3178997.730878343,3083449.257707912
360874:8301,10/21/22 18:54:00,52,52,3155738.842552887,3052202.957338898
360876:8301,10/21/22 19:32:24,341,341,21764268.733534161,21215116.971065465
360887:8302,10/22/22 00:37:33,123,123,46602525.028236687,43210722.082566246
360888:8302,10/22/22 01:28:39,289,289,129126081.675453037,122570258.748006552
360889:8302,10/22/22 03:26:51,36,36,16007124.428138981,8657592.910261005
360890:8302,10/22/22 03:43:25,504,504,198982659.950993091,190481440.464633942
360892:8302,10/22/22 07:12:51,296,296,97074087.348896578,93495907.419360057
360895:8302,10/22/22 09:34:19,700,700,182848477.653092980,177556171.094780296
360919:8304,10/22/22 18:02:11,798,798,342204753.549489260,324443462.832661688
360920:8304,10/22/22 23:13:18,4,4,1617686.054300089,1378271.389429790
360921:8304,10/22/22 23:17:35,218,218,83296498.890608370,79605022.540662169
360927:8305,10/23/22 03:07:11,1892,1892,694021592.688634038,661856684.769577622
360941:8306,10/23/22 17:40:28,72,72,26535742.975263599,25089079.687513340
360942:8306,10/23/22 18:14:08,344,344,150633020.289754122,142238398.848618120
360945:8306,10/23/22 20:45:57,91,91,39713587.734231204,37498071.216687880
360946:8306,10/23/22 21:27:46,364,364,149364803.964705497,142295688.016851336
360948:8306,10/24/22 00:02:16,119,119,43383537.401778184,41551335.440366536
360950:8306,10/24/22 00:53:44,716,716,219884553.530351400,211202623.537824899
360951:8306,10/24/22 05:37:03,190,190,46545387.835357517,44857510.965402015
360991:8307,10/24/22 12:26:00,230,230,27869939.601737447,26880957.520217076
360992:8307,10/24/22 13:58:16,99,99,11118592.565417027,10845870.815458946
361020:8309,10/24/22 19:05:24,399,399,27199685.682352401,25875934.921840806
361044:8311,10/25/22 02:03:59,125,125,49242749.408264361,46297742.758722916
361045:8311,10/25/22 02:55:10,945,945,398787941.577372670,378949181.520661235
361050:8311,10/25/22 09:24:54,10,10,3535181.947243630,3174793.214347331
361052:8311,10/25/22 09:34:36,65,65,22010623.926408716,20867582.591579963
361054:8311,10/25/22 10:06:43,461,461,138071072.767425954,132244348.862104371
361083:8312,10/25/22 16:24:52,54,54,7635550.203230063,7174292.119241606
361091:8313,10/25/22 18:40:42,381,381,51517421.786783651,49982350.072644159
361105:8314,10/26/22 01:35:51,408,408,149625929.870199949,142005120.387242466
361106:8314,10/26/22 04:21:10,31,31,11436088.796694500,10643571.895236488
361107:8314,10/26/22 04:35:30,156,156,58510394.808705918,55436952.202769287
361108:8314,10/26/22 05:38:10,7,7,2685444.411147736,2087483.063193678
361110:8314,10/26/22 05:43:42,197,197,69735942.000589788,65709299.016483486
361188:8315,10/26/22 20:31:47,141,141,61401641.537798844,54824681.434038289
361193:8315,10/26/22 21:27:43,29,29,12550279.892536955,11106510.792661106
361195:8315,10/26/22 21:41:33,20,20,8808080.046660759,7970571.962421415
361197:8315,10/26/22 21:58:35,2147,2147,742904190.450868249,686306803.732937813
361223:8316,10/27/22 15:21:52,695,695,298354566.505632281,273949223.511484623
361239:8317,10/27/22 22:30:03,1056,1056,447782419.399740875,425947871.122165680
361240:8317,10/28/22 05:22:51,1015,1015,304316667.448848486,293223373.188623071
361272:8319,10/28/22 14:59:35,125,125,52710624.276922971,50302953.377625585
361280:8319,10/28/22 15:56:59,267,267,116729086.153424039,110740862.318699464
361283:8319,10/28/22 17:46:07,26,26,11371196.866783021,10699190.784779666
361284:8319,10/28/22 18:01:19,36,36,15530857.319671465,14834619.457565080
361297:8320,10/28/22 22:09:25,933,933,401183274.648572862,380715538.988928735
361303:8321,10/29/22 08:03:41,2240,2240,811708496.520745993,773255311.177476525
361318:8322,10/30/22 01:24:17,457,457,198425809.419474691,189057001.940668106
361319:8322,10/30/22 03:23:53,162,162,71696203.877537638,68980444.592016488
361320:8322,10/30/22 04:42:46,382,382,155860059.084608734,149278955.328368247
361333:8324,10/30/22 11:06:23,302,302,126906881.689326331,121018169.672101110
361361:8327,10/31/22 03:35:35,46,46,18641889.456618853,15109153.258815018
361362:8327,10/31/22 03:56:28,31,31,7846638.594800431,6410124.312047400
361363:8327,10/31/22 04:10:21,27,27,11224863.056653187,8032290.179333122
361365:8327,10/31/22 05:28:09,489,489,215579018.906270981,193981017.260266066
361366:8327,10/31/22 08:40:31,201,201,78921231.432403773,74410719.923070714
361400:8330,10/31/22 18:20:30,456,456,194459410.638839185,184623029.252062678
361417:8331,11/01/22 05:24:44,1622,1622,644238664.525251627,616364983.966507435
361443:8333,11/01/22 19:11:32,2274,2274,813725554.763380170,781085175.765583992
361468:8334,11/02/22 12:35:09,1881,1881,744610197.718642950,705547425.813948154
361475:8335,11/03/22 03:17:52,1231,1231,509969434.755421102,486882900.649948955
361512:8342,11/03/22 21:42:36,1537,1537,608509214.186107635,583144401.122105122
361569:8345,11/04/22 22:57:59,564,564,240041597.953208029,229049588.434794843
361573:8345,11/05/22 02:48:33,305,305,129098495.918920532,123050695.860866010
361579:8347,11/05/22 09:31:22,863,863,365562101.497863770,346495295.944774270
361580:8347,11/05/22 15:13:00,422,422,148052553.693881214,142027876.177041799
361957:8385,11/12/22 08:34:53,1163,1163,337635109.668255687,327848340.542700469
361971:8387,11/12/22 18:51:37,2343,2343,848860974.828090549,814148194.977779388
361989:8389,11/13/22 15:16:41,114,114,44362036.293547079,41819349.260658138
361990:8389,11/13/22 16:03:08,204,204,89091048.539230749,85197583.003658146
361994:8389,11/13/22 17:39:23,116,116,50964297.171998844,47985338.267012917
362058:8395,11/14/22 17:00:57,171,171,68041034.038180918,62573289.124737062
362059:8395,11/14/22 18:09:39,63,63,27409880.567548417,25651652.556471072
362060:8395,11/14/22 18:39:17,84,84,37129266.195702083,35498483.243683457
362061:8395,11/14/22 19:16:14,314,314,137544360.292929649,129373929.095132634
362062:8395,11/14/22 21:20:50,207,207,89683187.906190798,84522770.189812556
362063:8395,11/14/22 22:46:25,86,86,34685860.845381640,33183927.997334972
362064:8395,11/15/22 00:15:16,973,973,291737833.623733819,281569595.910759091
